JobName,jobid,pgid,ImagePath,tfName,Quantity1,Quantity2,Quantity3,Shape,ColorLine,catName,page_Name,page_Scale,page_Width,page_Height,page_Scale1,page_Scale2,page_UID,Position,Quantity,FlipX,FlipY,ZoomFac,ScaleStyle,IsCustomScale
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,BOH,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x323738322E3332333B313139342E3131373B323738322E3332333B313237312E3337383B323834362E3332333B313237312E3337383B323834362E3332333B313335372E3337383B323738322E3332333B313335372E3337383B323738322E3332333B313430362E3337383B323434332E3133363B313430362E3337383B323434332E3133363B313139342E3131370A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,BOH,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x323237362E3839333B313439332E343B323237362E3839333B313639332E3539313B323337342E3839333B313639332E3539313B323337342E3839333B313732312E3537343B323438382E3839333B313732312E3537343B323438382E3839333B313530382E3537343B323435392E3839333B313530382E3537343B323435392E3839333B313439332E340A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,BOH,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x333333302E3630363B313430362E3639353B333333302E3630363B313139332E3738323B323937372E3638373B313139332E3738323B323937372E3638373B313239382E3536353B333130342E3638373B313239382E3536353B333130342E3638373B313430362E3639350A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,BOH,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x333333312E36313B323031392E3230383B333139342E3837323B323031392E3230383B333139342E3837323B323035392E3230383B333039382E3837323B323035392E3230383B333039382E3837323B323233382E3932383B333333312E36313B323233382E3932380A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,BOH,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x3439382E3830343B323030312E3537373B3632362E3638363B323030312E3537373B3632362E3638363B323034322E3038343B3639382E3737383B323034322E3038343B3639382E3737383B323233382E3539333B3439382E3830343B323233382E3539330A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,BOH,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x3732382E3635353B313538362E363B3439392E3132373B313538362E363B3439392E3132373B313439332E3139393B3732382E3635353B313439332E3139390A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,GSF,11,15,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x3439382E3839363B313439332E3132383B323434332E3038323B313439332E3132383B323434332E3038323B313139332E3431343B333333322E3839363B313139332E3431343B333333322E3839363B323233392E3132383B3439382E3839363B323233392E3132380A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,Garage,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x3439382E3631373B313439332E3132383B323434322E3830333B313439332E3132383B323434322E3830333B313139332E3431343B333333322E3631373B313139332E3431343B333333322E3631373B323233392E3132383B3439382E3631373B323233392E3132380A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,Garage,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x3439382E3830343B323030312E3537373B3632362E3638363B323030312E3537373B3632362E3638363B323034322E3038343B3639382E3737383B323034322E3038343B3639382E3737383B323233382E3539333B3439382E3830343B323233382E3539330A,0,0,0,0.1657407407,1,0
Parcel U Jamaica Plain 4-15-2016 CC,1053,111544,G:\Projects\2016\Precon\16019 Parcel U JAMAICA PLAIN MA (community blders)\00 PROJECT DOCUMENTS\001 MOST CURRENT DWGS\Architectural\Converted\A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0(1).tif,Garage,11,0,0,-1,0,000 GSF,A1.00-BASEMENT-GARAGE-FLOOR-PLAN-Rev.0.pdf,0,42,30,0.125,12,111544,0x313239342E3636383B313731382E30313B313138322E3834373B313731382E30313B313138322E3834373B313439332E3230343B313239342E3636383B313439332E3230340A,0,0,0,0.1657407407,1,0
